,stemmer_pt,stemmer_en,sgd_importance
paiv,Paiva,Paiva (coach),6.38548362260325
torc,Torcida,Fans,4.94510615724056
part,Partida,Match,4.77053507805942
vitor,"Vitor (Vitor Luis, João Vitor)",Vitor (player),4.22854029061316
melhor,Melhor,Better,4.19027161591364
paul,"Paulo (Pedro Paulo, Paulinho, Paulo Henrique)",Paulo (president and players),3.88382043785423
morr,Morrer,Die,3.77757739200348
3,3 (pontos),3 (Scores),3.76435887593985
frent,Frente,Forward,3.67110212930225
pont,Pontos,Scores,3.65939747395864
va,Vá,Go,-2.85822213308783
mau,Mau,Evil,-2.88871433068934
botafog,Botafogo,Botafogo (Rival Club),-2.89580599653128
emprest,Emprestar,Lend,-2.96188383065524
pag,Pagar,Pay,-2.97585806891297
pum,Pumita,Pumita (player),-2.9993508771755
club,Clube,Club (team),-3.04013314308231
neym,Neymar,Neymar (player),-3.17918386495877
esper,Esperar,Wait,-3.4406464456813
salari,Salário,Salary,-3.57101638919221
