,score
0,0
1,2
2,1
3,2
4,0
5,0
6,1
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,0
15,2
16,2
17,0
18,2
19,1
20,0
21,0
22,0
23,1
24,0
25,2
26,2
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,2
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,2
55,1
56,0
57,0
58,0
59,0
60,2
61,2
62,2
63,1
64,2
65,0
66,1
67,0
68,2
69,0
70,1
71,0
72,0
73,2
74,2
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,2
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,2
107,0
108,1
109,0
110,2
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,2
122,2
123,1
124,0
125,1
126,0
127,1
128,0
129,1
130,0
131,1
132,0
133,0
134,2
135,2
136,0
137,1
138,1
139,2
140,2
141,0
142,2
143,1
144,1
145,2
146,1
147,0
148,0
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,2
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,2
183,2
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,2
196,1
197,1
198,1
199,0
200,2
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,1
212,2
213,2
214,2
215,1
216,2
217,0
218,1
219,1
220,0
221,2
222,1
223,1
224,0
225,2
226,2
227,2
228,2
229,1
230,1
231,1
232,2
233,0
234,2
235,1
236,0
237,0
238,1
239,1
240,0
241,0
242,0
243,0
244,2
245,0
246,2
247,2
248,2
249,2
250,2
251,2
252,1
253,1
254,2
255,1
256,2
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,2
265,1
266,2
267,2
268,2
269,2
270,0
271,2
272,2
273,1
274,0
275,0
276,2
277,2
278,1
279,1
280,2
281,0
282,0
283,0
284,2
285,2
286,1
287,0
288,1
289,1
290,0
291,2
292,2
293,2
294,2
295,2
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,2
304,1
305,0
306,2
307,2
308,2
309,0
310,1
311,0
312,0
313,1
314,0
315,0
316,0
317,1
318,0
319,1
320,1
321,0
322,1
323,0
324,2
325,2
326,1
327,0
328,0
329,0
330,1
331,0
332,0
333,1
334,1
335,0
336,2
337,2
338,2
339,2
340,2
341,0
342,2
343,2
344,2
345,2
346,1
347,1
348,2
349,2
350,1
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,2
360,2
361,0
362,1
363,2
364,2
365,1
366,0
367,0
368,0
369,2
370,0
371,2
372,2
373,2
374,0
375,2
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,1
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,1
416,0
417,2
418,1
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,2
448,0
449,1
450,0
451,0
452,1
453,0
454,1
455,0
456,2
457,1
458,2
459,1
460,2
461,2
462,1
463,0
464,0
465,0
466,0
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,1
476,0
477,1
478,0
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,0
487,0
488,0
489,2
490,2
491,2
492,0
493,0
494,0
495,0
496,2
497,0
498,0
499,1
500,0
501,1
502,2
503,2
504,2
505,1
506,0
507,0
508,0
509,1
510,2
511,2
512,1
513,2
514,1
515,1
516,1
517,1
518,1
519,0
520,0
521,1
522,0
523,2
524,2
525,2
526,0
527,1
528,0
529,0
530,1
531,2
532,2
533,2
534,0
535,2
536,0
537,2
538,1
539,0
540,2
541,2
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,1
553,1
554,2
555,2
556,0
557,2
558,0
559,0
560,2
561,1
562,1
563,0
564,0
565,1
566,2
567,1
568,1
569,1
570,2
571,2
572,1
573,0
574,0
575,0
576,0
577,1
578,1
579,0
580,2
581,0
582,1
583,0
584,0
585,0
586,0
587,1
588,0
589,1
590,2
591,2
592,2
593,1
594,2
595,2
596,2
597,2
598,0
599,0
600,0
601,0
602,1
603,0
604,1
605,0
606,1
607,2
608,1
609,0
610,0
611,0
612,2
613,2
614,1
615,0
616,0
617,0
618,1
619,2
620,1
621,0
622,1
623,0
624,1
625,2
626,2
627,2
628,1
629,1
630,2
631,1
632,2
633,0
634,2
635,2
636,0
637,1
638,2
639,0
640,0
641,1
642,2
643,0
644,0
645,1
646,1
647,2
648,2
649,0
650,2
651,1
652,0
653,1
654,0
655,0
656,0
657,1
658,2
659,0
660,0
661,0
662,0
663,1
664,0
665,0
666,2
667,1
668,1
669,1
670,1
671,0
672,1
673,0
674,1
675,2
676,1
677,1
678,1
679,1
680,1
