,datetime,title,link
0,2024-07-27T23:01:00-03:00,Feminino: Vasco empata com o Paysandu e conquista o Brasileiro A3,/noticias/feminino-vasco-empata-com-o-paysandu-e-conquista-o-brasileiro-a3-397515.html
1,2024-07-27T19:05:25-03:00,Vasco sobe duas posições no ranking de sócios e está próximo do rival,/noticias/vasco-sobe-duas-posicoes-no-ranking-de-socios-e-esta-proximo-do-rival-397502.html
2,2024-07-27T13:35:00-03:00,"Galdames, Rossi, Praxedes e Victor Luís não foram relacionados",/noticias/galdames-rossi-praxedes-e-victor-luis-nao-foram-relacionados-397478.html
3,2024-07-27T13:24:00-03:00,Vasco divulga relacionados para o jogo de amanhã (28),/noticias/vasco-divulga-relacionados-para-o-jogo-de-amanha-28-397475.html
4,2024-07-27T12:35:34-03:00,Cronograma: Coutinho terá condições de jogar 45 minutos contra o Grêmio?,/noticias/cronograma-coutinho-tera-condicoes-de-jogar-45-minutos-contra-o-gremio-397470.html
5,2024-07-27T11:21:03-03:00,"Há menos de um mês no Vasco, Carlos Amodeo terá muitos desafios pela frente",/noticias/ha-menos-de-um-mes-no-vasco-carlos-amodeo-tera-muitos-desafios-pela-frente-397466.html
6,2024-07-27T08:07:28-03:00,Vasco antecipa parcelas da venda de Marlon Gomes para ter fluxo de caixa,/noticias/vasco-antecipa-parcelas-da-venda-de-marlon-gomes-para-ter-fluxo-de-caixa-397455.html
7,2024-07-26T19:30:16-03:00,Ramón Díaz pediu demissão no vestiário? Jogadores respondem; vídeo,/noticias/ramon-diaz-pediu-demissao-no-vestiario-jogadores-respondem-video-397449.html
8,2024-07-26T18:49:21-03:00,Vasco lembra o 90º aniversário do eterno Pai Santana,/noticias/vasco-lembra-o-90o-aniversario-do-eterno-pai-santana-397447.html
9,2024-07-26T18:25:50-03:00,Paradesporto: Vasco terá quatro representantes nas Paralimpíadas de Paris,/noticias/paradesporto-vasco-tera-quatro-representantes-nas-paralimpiadas-de-paris-397442.html
10,2024-07-26T17:57:40-03:00,Lucas Piton aparece na Seleção Sofascore do primeiro turno do Brasileiro,/noticias/lucas-piton-aparece-na-selecao-sofascore-do-primeiro-turno-do-brasileiro-397441.html
11,2024-07-26T17:44:06-03:00,Phillipe Gabriel segue treinando com o elenco profissional,/noticias/phillipe-gabriel-segue-treinando-com-o-elenco-profissional-397440.html
12,2024-07-26T17:08:37-03:00,Vasco informa que segue com o controle da SAF; veja nota,/noticias/vasco-informa-que-segue-com-o-controle-da-saf-veja-nota-397437.html
13,2024-07-26T16:53:59-03:00,Dedé relembra momentos com a camisa do Vasco: 'Eu poderia ter ajudado',/noticias/dede-relembra-momentos-com-a-camisa-do-vasco-eu-poderia-ter-ajudado-397436.html
14,2024-07-26T16:12:27-03:00,"Números de Gonzalo Álvarez, especulado no Vasco",/noticias/numeros-de-gonzalo-alvarez-especulado-no-vasco-397431.html
15,2024-07-26T15:31:00-03:00,Lucas Piton é eleito o melhor lateral-esquerdo do primeiro turno do BR,/noticias/lucas-piton-e-eleito-o-melhor-lateral-esquerdo-do-primeiro-turno-do-br-397429.html
16,2024-07-26T14:46:46-03:00,Brasileiros cantam 'Paris vai virar baile' na França e vídeo viraliza,/noticias/brasileiros-cantam-paris-vai-virar-baile-na-franca-e-video-viraliza-397428.html
17,2024-07-26T14:15:21-03:00,Vasco busca informações sobre Gonzalo Álvarez,/noticias/vasco-busca-informacoes-sobre-gonzalo-alvarez-397425.html
18,2024-07-26T12:55:47-03:00,"Luciano Rodríguez, cotado no Vasco, acerta com o Bahia",/noticias/luciano-rodriguez-cotado-no-vasco-acerta-com-o-bahia-397421.html
19,2024-07-26T08:52:55-03:00,Médias de público do Brasileirão 2024,/noticias/medias-de-publico-do-brasileirao-2024-397416.html
20,2024-07-26T08:29:11-03:00,Vasco possui o 12º elenco mais valioso do Campeonato Brasileiro,/noticias/vasco-possui-o-12o-elenco-mais-valioso-do-campeonato-brasileiro-397409.html
21,2024-07-26T08:24:08-03:00,Rival: Renato Gaúcho critica CBF por tabela do Brasileirão,/noticias/rival-renato-gaucho-critica-cbf-por-tabela-do-brasileirao-397408.html
22,2024-07-26T08:10:52-03:00,A situação de Bruno Praxedes no Vasco,/noticias/a-situacao-de-bruno-praxedes-no-vasco-397406.html
23,2024-07-25T22:53:39-03:00,"Vegetti, sobre Álvaro Pacheco: 'A gente queria mais simplicidade'",/noticias/vegetti-sobre-alvaro-pacheco-a-gente-queria-mais-simplicidade-397403.html
24,2024-07-25T21:46:45-03:00,777 deixou de pagar premiações no ano passado; Pedrinho tenta resolver,/noticias/777-deixou-de-pagar-premiacoes-no-ano-passado-pedrinho-tenta-resolver-397398.html
25,2024-07-25T21:10:29-03:00,"Ex-Vasco, Dedé participa do Futbolaço Podcast",/noticias/ex-vasco-dede-participa-do-futbolaco-podcast-397396.html
26,2024-07-25T20:02:43-03:00,Em quem JP se inspira? Meia responde; vídeo,/noticias/em-quem-jp-se-inspira-meia-responde-video-397394.html
27,2024-07-25T19:59:48-03:00,As chances de Payet e Coutinho jogarem juntos,/noticias/as-chances-de-payet-e-coutinho-jogarem-juntos-397391.html
28,2024-07-25T18:38:42-03:00,Jair e Paulinho devem retornar aos gramados em outubro,/noticias/jair-e-paulinho-devem-retornar-aos-gramados-em-outubro-397388.html
29,2024-07-25T16:45:16-03:00,Vasco observa posições de olho na sequência da temporada,/noticias/vasco-observa-posicoes-de-olho-na-sequencia-da-temporada-397382.html
30,2024-07-25T16:31:22-03:00,Zé Maria completa 51 anos nesta quinta,/noticias/ze-maria-completa-51-anos-nesta-quinta-397380.html
